date,store_id,product_id,warehouse_id,supplier_id,units_sold,inventory_level,units_ordered,units_received,delivery_delay_days,stockout_flag,revenue,unit_price_txn,discount_pct,holiday_promo_flag,weather,season
2021-01-01,S001,TOY-P0032,W01,SUP05,31.0,187.0,0,0,0.0,0,29829.75,962.25,0.0,0,Sunny,Winter
2021-01-01,S003,BEA-P0029,W02,SUP14,13.0,89.0,0,0,0.0,0,10639.59,818.43,0.0,0,Sunny,Winter
2021-01-01,S004,STA-P0007,W02,SUP10,9.0,166.0,0,0,0.0,0,6947.28,771.92,0.0,0,Cloudy,Winter
2021-01-01,S004,TOY-P0027,W02,SUP02,2.0,128.0,0,0,0.0,0,2809.64,1404.82,0.0,0,Cloudy,Winter
2021-01-01,S005,TOY-P0038,W03,SUP09,10.0,236.0,0,0,0.0,0,6663.1,666.31,0.0,0,Cold,Winter
2021-01-01,S006,BEA-P0011,W02,SUP15,15.0,146.0,0,0,0.0,0,14064.0,937.6,0.0,0,Cold,Winter
2021-01-01,S006,FUR-P0036,W02,SUP18,6.0,106.0,0,0,0.0,0,125566.74,20927.79,0.0,0,Cold,Winter
2021-01-01,S006,FUR-P0039,W02,SUP11,6.0,284.0,0,0,0.0,0,108440.46,18073.41,0.0,0,Cloudy,Winter
2021-01-01,S007,ELE-P0012,W04,SUP04,16.0,172.0,0,0,0.0,0,4176.16,261.01,0.0,0,Cold,Winter
2021-01-01,S007,ELE-P0028,W04,SUP05,18.0,57.0,0,0,0.0,0,397680.84,22093.38,0.0,0,Cloudy,Winter
2021-01-01,S009,PET-P0006,W01,SUP12,7.0,184.0,0,0,0.0,0,9753.94,1393.42,0.0,0,Cold,Winter
2021-01-01,S011,PET-P0018,W05,SUP01,5.0,148.0,0,0,0.0,0,5396.75,1079.35,0.0,0,Cold,Winter
2021-01-01,S011,PET-P0025,W05,SUP11,9.0,115.0,0,0,0.0,0,13525.74,1502.86,0.0,0,Cold,Winter
2021-01-01,S011,TOY-P0005,W05,SUP02,7.0,165.0,0,0,0.0,0,1380.26,197.18,0.0,0,Sunny,Winter
2021-01-01,S011,TOY-P0036,W05,SUP10,10.0,215.0,0,0,0.0,0,6722.9,672.29,0.0,0,Cold,Winter
2021-01-01,S012,PET-P0009,W05,SUP19,5.0,253.0,0,0,0.0,0,4850.3,970.06,0.0,0,Cloudy,Winter
2021-01-01,S013,ELE-P0008,W07,SUP04,13.0,150.0,0,0,0.0,0,6096.22,468.94,0.0,0,Cloudy,Winter
2021-01-01,S013,KIT-P0017,W07,SUP19,6.0,194.0,0,0,0.0,0,3120.72,520.12,0.0,0,Cloudy,Winter
2021-01-01,S013,SPO-P0006,W07,SUP17,10.0,96.0,0,0,0.0,0,42405.2,4240.52,0.0,0,Sunny,Winter
2021-01-01,S014,FUR-P0025,W07,SUP03,6.0,186.0,0,0,0.0,0,165441.06,27573.51,0.0,0,Cold,Winter
2021-01-01,S014,SPO-P0029,W07,SUP09,22.0,60.0,0,0,0.0,0,123198.24,5599.92,0.0,0,Cloudy,Winter
